player_name,HeadshotRatio,AvgDistance,Aces,KillDeathRatio
 yuurih,0.44,663,0,1.16
AdreN,0.47,639,0,0.86
Aerial,0.41,664,1,0.87
aizy,0.48,667,3,1.01
Aleksib,0.37,642,0,0.80
allu,0.27,883,2,1.14
almazer,0.47,682,0,0.94
AmaNEk,0.49,683,4,0.98
apEX,0.51,690,0,0.88
arT,0.39,612,4,0.93
Attacker,0.49,672,2,0.99
AZR,0.52,646,1,0.97
b0RUP,0.63,671,0,0.94
blameF,0.4,666,2,1.19
boltz,0.37,706,0,1.25
Boombl4,0.43,664,2,0.92
Brehze,0.54,683,2,1.16
broky,0.38,737,1,1.10
Brollan,0.53,685,3,1.12
buster,0.56,676,1,1.08
cadiaN,0.24,803,0,1.02
cajunb,0.44,676,0,0.92
CeRq,0.29,833,1,1.08
chelo,0.6,662,2,1.10
chopper,0.62,650,1,1.02
chrisJ,0.47,688,2,0.90
coldzera,0.55,678,3,1.12
Cooper,0.35,754,2,1.12
device,0.35,868,5,1.26
dexter,0.47,692,3,1.18
dupreeh,0.5,660,3,1.10
electronic,0.49,723,3,1.15
EliGE,0.5,689,5,1.18
es3tag,0.45,681,0,1.11
Ethan,0.47,640,2,0.98
exit^_^,0.42,670,0,0.97
facecrack,0.51,612,0,0.95
FalleN,0.33,810,1,1.09
felps,0.37,716,0,1.34
fer,0.43,647,0,1.06
FL1T,0.5,695,1,1.11
flamie,0.53,750,3,0.98
flusha,0.41,693,5,1.00
food,0.5,681,1,0.90
fREAKAZOiD,0.45,575,0,0.85
Freeman,0.51,709,2,0.91
Frozen,0.56,709,2,1.10
gade,0.53,566,1,0.90
gla1ve,0.46,662,0,1.01
Golden,0.53,703,2,0.84
Gratisfaction,0.37,754,2,1.02
Hatz,0.54,666,1,0.99
heat,0.52,732,0,0.75
HEN1,0.32,816,1,1.24
huNter,0.54,609,6,1.15
iDiSBALANCE,0.26,932,2,1.14
ISSAA,0.53,698,1,0.98
JaCkz,0.6,670,1,0.95
Jame,0.23,853,0,1.33
Jerry ,0.49,620,1,0.95
jkaem,0.5,643,6,1.04
jks,0.54,706,2,1.19
jnt,0.37,814,0,0.87
JW,0.37,796,2,0.99
k0nfig,0.57,676,1,1.00
k1to,0.61,664,2,1.05
karrigan,0.47,642,1,0.79
kennyS,0.32,896,4,1.16
Kjaerbye,0.51,692,2,1.02
kNgV-,0.4,753,2,1.14
KRIMZ,0.42,708,4,1.11
kRYSTAL,0.39,588,1,0.73
KSCERATO,0.45,686,2,1.26
Lekr0,0.52,733,1,1.00
leo_drunky,0.48,606,1,0.83
Liazz,0.43,695,1,0.95
Luken,0.6,656,0,1.11
maden,0.53,682,1,1.06
Magisk,0.44,735,1,1.13
magixx,0.57,713,1,1.01
Maikelele,0.35,797,2,0.89
mantuu,0.34,810,1,1.35
MarkE,0.53,635,1,1.01
meyern,0.56,669,1,0.91
Mir,0.53,682,2,1.16
misutaaa,0.58,598,1,0.96
MSL,0.28,747,1,0.91
NAF,0.45,726,1,1.17
nawwk,0.46,698,0,1.13
NBK,0.51,726,2,0.89
Nexa,0.53,653,3,1.08
NiKo,0.5,761,3,1.14
nitr0,0.44,703,1,0.90
oBo,0.52,685,1,1.01
olofmeister,0.48,724,3,0.94
Perfecto,0.47,662,1,0.89
Plopski,0.44,642,1,1.15
poizon,0.32,915,1,0.99
Qikert,0.54,659,0,1.02
rain,0.57,670,4,0.93
REZ,0.48,696,1,0.98
ropz,0.52,695,1,1.25
RpK,0.53,633,2,0.95
RUSH,0.48,661,0,0.79
s1mple,0.42,846,1,1.48
SANJI,0.63,654,0,0.89
sdy,0.54,716,2,1.11
sergej,0.56,670,0,1.03
shox,0.49,694,0,0.99
shz,0.52,667,1,1.05
Snappi,0.47,679,0,0.92
somebody,0.5,650,0,0.96
stanislaw,0.45,657,2,0.91
stavn,0.39,699,0,1.11
Stewie2k,0.45,703,0,0.93
STYKO,0.59,665,1,1.01
Summer,0.53,705,0,1.04
suNny,0.45,679,1,0.95
syrsoN,0.3,880,4,1.25
tabseN,0.48,757,0,1.12
TACO,0.56,640,0,0.89
tarik,0.4,664,2,0.93
tiziaN,0.52,666,2,1.05
twist,0.33,825,2,0.99
twistzz,0.66,666,3,1.11
valde,0.48,670,0,1.04
VINI,0.47,629,1,0.90
woxic,0.33,858,3,1.09
XANTARES,0.51,693,1,1.13
xeta,0.46,816,0,0.85
xsepower,0.23,922,0,1.22
xseveN,0.44,681,0,0.85
Xyp9x,0.41,694,1,1.15
yeL,0.3,827,0,1.15
zehN,0.45,617,4,1.05
Zellsis,0.5,583,1,0.92
ZywOo,0.37,816,5,1.26
